age,male,female
0,0.004548,0.003571
1,0.00024,0.000221
2,0.000169,0.000139
3,0.000115,0.000095
4,0.000086,0.000068
5,0.000085,0.000069
6,0.000069,0.000069
7,0.00007,0.000059
8,0.000077,0.000062
9,0.000072,0.000061
10,0.00006,0.000066
11,0.000092,0.000073
12,0.000101,0.000065
13,0.000114,0.000105
14,0.000138,0.000086
15,0.000179,0.000132
16,0.000229,0.000121
17,0.000304,0.000166
18,0.000432,0.000176
19,0.000502,0.000191
20,0.000456,0.000222
21,0.000494,0.000211
22,0.000502,0.000208
23,0.000551,0.000242
24,0.000513,0.00024
25,0.000525,0.000231
26,0.000633,0.00027
27,0.000604,0.000302
28,0.000663,0.000307
29,0.000739,0.000338
30,0.000749,0.000351
31,0.000867,0.000387
32,0.000883,0.000442
33,0.000949,0.000477
34,0.000981,0.000545
35,0.001091,0.000614
36,0.001192,0.00058
37,0.001276,0.000715
38,0.001373,0.000839
39,0.001549,0.000898
40,0.001653,0.000962
41,0.001808,0.001024
42,0.001865,0.001177
43,0.002028,0.001183
44,0.002205,0.001333
45,0.002402,0.001415
46,0.002566,0.001576
47,0.002867,0.001842
48,0.003147,0.001922
49,0.003387,0.002086
50,0.003699,0.002304
51,0.003947,0.002454
52,0.004358,0.002577
53,0.004589,0.002882
54,0.004943,0.003081
55,0.00531,0.003387
56,0.005746,0.003699
57,0.006254,0.004015
58,0.00675,0.004274
59,0.007225,0.004646
60,0.008032,0.005107
61,0.008855,0.005453
62,0.00958,0.006154
63,0.010363,0.006803
64,0.01138,0.00748
65,0.012389,0.008042
66,0.013666,0.008997
67,0.015075,0.00981
68,0.016594,0.010806
69,0.017954,0.011665
70,0.019639,0.01298
71,0.021509,0.01398
72,0.023699,0.01535
73,0.02541,0.016933
74,0.027562,0.018619
75,0.030559,0.021063
76,0.034412,0.023411
77,0.038379,0.026864
78,0.043246,0.030073
79,0.047924,0.033678
80,0.05481,0.039002
81,0.060929,0.044073
82,0.069091,0.049797
83,0.075578,0.055957
84,0.084871,0.063023
85,0.094935,0.07114
86,0.106503,0.081537
87,0.120024,0.09162
88,0.135261,0.105934
89,0.150561,0.118178
90,0.170423,0.134099
91,0.18754,0.152218
92,0.209766,0.171228
93,0.229759,0.190351
94,0.254123,0.210095
95,0.274965,0.230103
96,0.298702,0.251247
97,0.327806,0.278312
98,0.337947,0.304062
99,0.378259,0.323944
100,0.403475,0.352311
